common_voice_en_3511.mp3	My review of the sun: one star.
common_voice_en_1113.mp3	I think they perceived that nothing was to be done at the moment.
common_voice_en_3397.mp3	"Maybe tomorrow," said the boy, moving away.
common_voice_en_16212.mp3	I think they perceived that nothing was to be done at the moment.
common_voice_en_32969.mp3	I'm never more aware of a room's acoustics than when I'm trying to enjoy a snack I have no intention of sharing.
common_voice_en_12977.mp3	It was dropping off in flakes and raining down on the sand.
common_voice_en_583906.mp3	He remembered the sword.
common_voice_en_112469.mp3	My review of the sun: one star.
common_voice_en_53484.mp3	"I have known true alchemists," the alchemist continued.
common_voice_en_40178.mp3	My review of the sun: one star.
common_voice_en_21938.mp3	They said nothing else.
common_voice_en_18233924.mp3	I like reading about medical mysteries, don't you?
common_voice_en_20284743.mp3	McGowan founded the second umpire school in the United States.
common_voice_en_258.mp3	You could run an interview that would prove it.
common_voice_en_39961370.mp3	The tower is all that remains from the demolished structure of the Gardens.
common_voice_en_17947917.mp3	May I have some syrup to go on these pancakes?
common_voice_en_102955.mp3	I remember how I sat on the table there in the blackness, with patches of green and crimson swimming before my eyes.
common_voice_en_17516873.mp3	We should all go back to living in the trees, much simpler.
common_voice_en_684086.mp3	If you start your emails with "Greetings" let me be the first to welcome you to Earth.
common_voice_en_530741.mp3	My review of the sun: one star.
common_voice_en_125601.mp3	I'm interested only in the present.
common_voice_en_678043.mp3	I think they perceived that nothing was to be done at the moment.
common_voice_en_540104.mp3	I think they perceived that nothing was to be done at the moment.
common_voice_en_20283149.mp3	This has created a brand for many churches, some overnight.
common_voice_en_152649.mp3	It was starlight, and I explained the Signs of the Zodiac to her.
common_voice_en_153098.mp3	It was dropping off in flakes and raining down on the sand.
common_voice_en_222125.mp3	They were relieved and happy.
common_voice_en_20954.mp3	The miner had abandoned everything to go mining for emeralds.
common_voice_en_88359.mp3	He felt uneasy at the man's presence.
common_voice_en_39579977.mp3	The stair winds around a central newel and is lined with tongue-and-groove vertical boards.
common_voice_en_33110446.mp3	She was sentenced to death for systematic theft of socialist property.
common_voice_en_39570152.mp3	The "Load 'N Go" sliding trunk floor feature was discontinued.
common_voice_en_39589474.mp3	Wilkinson took the lead early on and maintained it throughout.
common_voice_en_177711.mp3	He moved about, invisible but everyone could hear him.
common_voice_en_32068279.mp3	The massive ground floor is very visible because of its rusticated decoration.
common_voice_en_39746951.mp3	Their earliest known location was on Yazoo River, near the Chakchiuma and Chickasaw tribes.
common_voice_en_32669939.mp3	His altarpieces are found in various churches in and around Antwerp.
common_voice_en_39562047.mp3	Depending on suit quality and partnership agreement different classification schemes are viable.
common_voice_en_37073528.mp3	The same is true for mourners who are liable to suffer serious economic loss.
common_voice_en_39605004.mp3	Additionally, the facility suffered from vermin infestation.
common_voice_en_32117455.mp3	Which they sell very easily.
common_voice_en_32269930.mp3	He was the son of Admiral Henrik Bielke.
common_voice_en_32825487.mp3	She was later scrapped.
common_voice_en_32672549.mp3	He scored the highest result on the Wonderlic at the combine.
common_voice_en_32826922.mp3	He was one of the defenders of the Rouen School.
common_voice_en_30750963.mp3	Buses run regularly from Newcastle upon Tyne and the surrounding areas.
common_voice_en_39747513.mp3	The website was also redesigned.
common_voice_en_32798369.mp3	Bobs Lakes is also lined with campsites as overflow and is stocked with trout.
common_voice_en_32641879.mp3	He grew up in Soweto and was expelled from school.
common_voice_en_570960.mp3	No doubt the impact had caused a flash of fire.
common_voice_en_35126462.mp3	The Russian pair that beat them had trained together for years.
common_voice_en_32702865.mp3	Richard was succeeded by his son William.
common_voice_en_32135592.mp3	All crew on board at the time of the sinking survived.
common_voice_en_32813614.mp3	A visit to Rockhampton General Hospital was also scheduled.
common_voice_en_32682504.mp3	He was succeeded by his nephew Henry Arthur Cole.
common_voice_en_22006430.mp3	six
common_voice_en_30335901.mp3	His older sister played volleyball.
